ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
603271.SH,20250818,41.18,17.3376,17.3376,25.3594,23.7067,2.9676,0.9987,0.9199,19672.0,3857.0371,3857.0371,810092.96,158832.7878,0
600674.SH,20250818,15.34,0.4437,1.3116,16.5885,16.0238,1.7543,46.4744,43.543,487460.6828,487460.6828,164907.7767,7477646.8742,7477646.8742,0
603198.SH,20250818,42.14,0.974,3.5063,13.0199,13.4588,3.5589,4.5906,4.7707,80000.0,80000.0,22223.415,3371200.0,3371200.0,0
002603.SZ,20250818,16.13,1.638,3.0139,,,2.5545,4.1378,4.245,167070.5376,137684.8989,74828.1309,2694847.7715,2220857.4193,0
002351.SZ,20250818,13.92,6.4508,8.2578,27.5499,27.9944,4.6313,4.2049,4.2346,88910.7,52104.4175,40702.6633,1237636.944,725293.4916,0
300816.SZ,20250818,42.3,18.0511,27.4756,67.8458,61.8674,4.0083,3.5751,3.5577,8000.0,4559.6547,2995.638,338400.0,192873.3938,0
001266.SZ,20250818,29.22,5.4872,5.4872,173.5024,126.9669,3.1215,3.8708,3.4218,10316.976,3527.16,3527.16,301462.0387,103063.6152,0
002190.SZ,20250818,36.61,6.2921,12.8627,,,3.8668,5.5484,5.5062,35872.9343,35872.9343,17547.96,1313308.1247,1313308.1247,0
002728.SZ,20250818,9.33,5.9473,7.1571,233.3806,111.4751,2.6961,6.9544,5.8452,51266.1866,37647.3716,31283.5389,478313.521,351249.977,0
300963.SZ,20250818,21.12,10.9316,19.766,101.4591,104.0404,9.1186,9.0052,9.3131,45864.0,28941.268,16006.003,968647.68,611239.5802,0
002444.SZ,20250818,35.02,1.7426,2.997,18.1586,17.7934,2.4734,2.8273,2.7619,119447.8182,114316.8402,66468.6983,4183062.5934,4003375.7438,0
603648.SH,20250818,11.48,2.7663,5.4778,31.7842,34.0816,2.3493,2.7381,2.8795,36241.28,36241.28,18301.9174,416049.8944,416049.8944,0
601825.SH,20250818,8.84,0.3192,0.5397,6.9381,6.9312,0.6931,3.2002,3.2645,964444.4445,931658.3609,550960.0587,8525688.8894,8235859.9104,0
301232.SZ,20250818,39.65,14.3453,15.896,,,2.1288,1.6604,1.2858,7516.2347,4466.7265,4030.9725,298018.7059,177105.7057,0
000753.SZ,20250818,5.58,3.9626,6.3671,103.5789,108.5731,2.0379,1.6754,1.7022,99148.1071,99148.1071,61705.3723,553246.4376,553246.4376,0
603569.SH,20250818,8.13,2.0421,7.0565,61.6664,71.4822,1.664,1.1752,1.1077,60350.7251,60350.7251,17464.8246,490651.3951,490651.3951,0
002291.SZ,20250818,6.7,6.8769,8.2145,,,1.9582,1.3159,1.5088,93554.5353,86910.151,72758.7647,626815.3865,582298.0117,0
300721.SZ,20250818,15.01,4.0965,6.1047,259.5525,,2.0987,1.3996,1.4564,16484.6739,13673.8494,9175.5884,247434.9552,205244.4795,0
002167.SZ,20250818,13.11,11.8553,15.9266,57.4248,38.2106,5.8305,6.5822,7.4947,77467.33,75740.1963,56379.114,1015596.6963,992953.9735,0
831641.BJ,20250818,18.82,9.1414,14.5772,,582.0264,4.2164,2.5972,2.6593,7507.5,4465.7345,2800.4845,141291.15,84045.1233,0
001368.SZ,20250818,25.62,7.4583,7.4583,28.3106,29.2819,2.1297,3.0024,2.9071,11383.6944,3208.6099,3208.6099,291650.2505,82204.5856,0
300169.SZ,20250818,8.61,19.2177,19.6312,,,319.2564,5.2838,5.6083,32598.434,30173.5782,29538.0015,280672.5167,259794.5083,0
603721.SH,20250818,19.39,2.4144,4.8659,,,5.1385,8.3983,10.2159,13000.0,13000.0,6450.5215,252070.0,252070.0,0
300171.SZ,20250818,15.27,2.1125,3.2134,60.2504,78.1897,1.5052,2.3341,2.3209,76582.804,56265.7355,36988.4597,1169419.4171,859177.7811,0
301203.SZ,20250818,32.34,12.6711,16.7313,19.6114,20.6293,1.9112,8.1975,8.0691,8000.0,4384.25,3320.3405,258720.0,141786.645,0
301087.SZ,20250818,42.61,4.7648,10.4321,28.5786,29.5058,1.9162,2.9868,3.0579,20909.2,19424.702,8872.0525,890941.012,827686.5522,0
300959.SZ,20250818,47.68,5.9717,8.3615,125.8046,85.6608,3.3831,3.3744,3.8832,8036.78,5235.5219,3739.1496,383193.6704,249629.6842,0
688661.SH,20250818,48.45,9.7973,21.5249,,252.756,5.9776,12.9329,9.4457,15188.7826,15164.9191,6902.506,735896.517,734740.3304,0
600166.SH,20250818,2.69,2.4524,3.6274,264.4285,81.8951,1.447,0.4465,0.4291,791740.0367,648882.8939,438691.3605,2129780.6987,1745494.9846,0
002955.SZ,20250818,26.2,2.6913,4.9818,27.9377,30.5885,1.9241,1.7587,1.7793,23663.9912,18737.772,10122.7555,619996.5694,490929.6264,0
301097.SZ,20250818,45.45,4.7357,4.7357,,,2.299,6.3948,6.3705,5894.7368,1834.7368,1834.7368,267915.7876,83388.7876,0
002863.SZ,20250818,5.33,2.0613,3.1122,47.6974,47.7577,1.1529,0.6521,0.6183,59948.3554,59948.3554,39705.9006,319524.7343,319524.7343,0
